,BL-4120_Z-East_.__SEN.T-093__WS.IN_MEA.T_AI,BL-4120_Z-East_.__SEN.T-094__WS.OUT_MEA.T_AI,BL-4120_Z-East_.__SEN.T-095__WS.IN_MEA.T_AI,BL-4120_Z-East_.__SEN.T-096__WS.OUT_MEA.T_AI,BL-4120_Z-East_.__SEN.VF-097__WS_MEA.VF_AI,BL-4120_Z-East_.__SEN.VF-098__WS_MEA.VF_AI,BL-4120_Z-East_.__SEN.T-099__WS.IN_MEA.T_AI,BL-4120_Z-West_.__SEN.T-100__WS.OUT_MEA.T_AI,BL-4120_Z-West_.__SEN.T-101__WS.IN_MEA.T_AI,BL-4120_Z-West_.__SEN.T-102__WS.OUT_MEA.T_AI,BL-4120_Z-West_.__SEN.VF-103__WS_MEA.VF_AI,BL-4120_Z-West_.__SEN.VF-104__WS_MEA.VF_AI
2017-04-01 00:00:00,20.97,19.94,27.21,22.46,1.23875,0.00125,20.18,21.32,27.3,26.73,1.06125,0.34375
2017-04-01 00:00:00,,,,,,,,,,,,
2017-04-01 00:01:00,,,,,,,,,,,,
2017-04-01 00:02:00,,,,,,,,,,,,
2017-04-01 00:03:00,,,,,,,,,,,,
2017-04-01 00:04:00,,,,,,,,,,,,
2017-04-01 00:05:00,,,,,,,,,,,,
2017-04-01 00:06:00,,,,,,,,,,,,
2017-04-01 00:07:00,,,,,,,,,,,,
2017-04-01 00:08:00,,,,,,,,,,,,
2017-04-01 00:09:00,,,,,,,,,,,,
2017-04-01 00:10:00,,,,,,,,,,,,
2017-04-01 00:11:00,,,,,,,,,,,,
2017-04-01 00:12:00,,,,,,,,,,,,
2017-04-01 00:13:00,,,,,,,,,,,,
2017-04-01 00:14:00,,,,,,,,,,,,
2017-04-01 00:15:00,,,,,,,,,,,,
2017-04-01 00:16:00,,,,23.08,0.805,,,,,,,
2017-04-01 00:17:00,,,,,0.843125,,,,,26.35,1.1525,
2017-04-01 00:18:00,20.92,,27.01,,0.88,,,,,26.185000000000002,1.1584375,0.364375
2017-04-01 00:19:00,,,,,,,,,,25.875,1.15875,0.38375000000000004
2017-04-01 00:20:00,,,,,,,,,,,,
2017-04-01 00:21:00,,,,,,,,,,,,
2017-04-01 00:22:00,,,,,,,,,,,,
2017-04-01 00:23:00,,,,,,,,,,,,
2017-04-01 00:24:00,,,,,,,,,,,,
2017-04-01 00:25:00,,,,,,,,,,,,
2017-04-01 00:26:00,,,,,,,,,,,,
2017-04-01 00:27:00,,,,,,,,,,,,
2017-04-01 00:28:00,,,,,,,,,,,,
2017-04-01 00:29:00,,,,,,,,,,,,
2017-04-01 00:30:00,,,,,,,,,,,,
2017-04-01 00:31:00,,,,,,,,,,,,
